Exam,Section(s),Day,Date,Start,End,Location(s)
ME 353,001,Tuesday,"December 13, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
ME 360,001,Wednesday,"December 21, 2011",4:00 PM,6:30 PM,"E5 3101,3102"
ME 362,001,Saturday,"December 17, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
ME 423,001,Friday,"December 16, 2011",7:30 PM,10:00 PM,CPH 3679
ME 435,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
ME 456,001,Friday,"December 16, 2011",9:00 AM,11:30 AM,CPH 3679
ME 459,001,Monday,"December 19, 2011",7:30 PM,10:00 PM,"E5 3101,3102"
ME 548,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,CPH 3679
ME 559,001,Saturday,"December 17, 2011",7:30 PM,10:00 PM,"E5 3101,3102"
ME 561,001,Monday,"December 12, 2011",7:30 PM,10:00 PM,CPH 3679
ME 566,001,Tuesday,"December 20, 2011",12:30 PM,3:00 PM,CPH 3679
ME 599,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
ME 760,003,Friday,"December 9, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
MSCI 211,001,Tuesday,"December 13, 2011",7:30 PM,10:00 PM,"DC 1350,1351"
MSCI 211,,,,View your exam schedule in Quest,,,,
MSCI 240,001,Wednesday,"December 14, 2011",7:30 PM,10:00 PM,RCH 301
MSCI 261,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,PAC 4
MSCI 262,001,Monday,"December 12, 2011",4:00 PM,6:30 PM,MC 1085
MSCI 271,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,MC 1085
MSCI 311,001,Saturday,"December 17, 2011",12:30 PM,3:00 PM,"DC 1350,1351"
MSCI 331,001,Saturday,"December 17, 2011",12:30 PM,3:00 PM,MC 4045
MSCI 332,001,Wednesday,"December 14, 2011",4:00 PM,6:30 PM,"PAC 9,10"
MSCI 333,001,Tuesday,"December 13, 2011",7:30 PM,10:00 PM,MC 2034
MSCI 342,001,Saturday,"December 10, 2011",4:00 PM,6:30 PM,RCH 211
MSCI 343,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,CPH 3602
MSCI 422,001,Friday,"December 9, 2011",7:30 PM,10:00 PM,PAC 6
MSCI 432,001,Thursday,"December 22, 2011",9:00 AM,11:30 AM,PAC 5
MSCI 446,001,Saturday,"December 17, 2011",7:30 PM,10:00 PM,CPH 3602
MTE 203,001,Friday,"December 16, 2011",12:30 PM,3:00 PM,"RCH 109,110,112"
MTE 204,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,"MC 4020,4021"
MTE 220,001,Wednesday,"December 14, 2011",12:30 PM,3:00 PM,"RCH 305,307,308"
MTE 241,001,Saturday,"December 10, 2011",12:30 PM,3:00 PM,"RCH 302,305"
MTHEL 131,001,Saturday,"December 10, 2011",12:30 PM,3:00 PM,PAC 6
MUSIC 100,001,Wednesday,"December 21, 2011",4:00 PM,6:30 PM,"CGC 1111,1302"
MUSIC 100,002,Wednesday,"December 21, 2011",4:00 PM,6:30 PM,DC 1350
MUSIC 111,001,Exam removed from the schedule.  Contact the instructor for further information.,,,,
MUSIC 140,001,Friday,"December 16, 2011",9:00 AM,11:30 AM,"AL 116,124"
MUSIC 231,001,Friday,"December 16, 2011",7:30 PM,10:00 PM,CGC 1111
MUSIC 245,001,Wednesday,"December 21, 2011",12:30 PM,3:00 PM,CGC 1111
MUSIC 256,001,Wednesday,"December 14, 2011",4:00 PM,6:30 PM,CGC 1111
MUSIC 275,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,CGC 1302
MUSIC 334,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,CGC 1302
MUSIC 363,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,CGC 1300
MUSIC 370,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,CGC 1302
NE 100,001,Wednesday,"December 14, 2011",9:00 AM,11:30 AM,"RCH 103,105,110"
NE 112,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,DC 1351
NE 113,001,Saturday,"December 10, 2011",9:00 AM,11:30 AM,"RCH 301,302"
NE 121,001,Friday,"December 16, 2011",9:00 AM,11:30 AM,DC 1351
NE 216,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,"PAC 11,12"
NE 224,001,Thursday,"December 15, 2011",9:00 AM,11:30 AM,DC 1351
NE 225,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"MC 4020,4021"
NE 241,001,Wednesday,"December 21, 2011",12:30 PM,3:00 PM,"PAC 11,12"
NE 335,001,Wednesday,"December 14, 2011",4:00 PM,6:30 PM,"RCH 103,105"
NE 336,001,Monday,"December 19, 2011",7:30 PM,10:00 PM,"PAC 11,12"
NE 352,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"RCH 103,105"
NE 353,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,"RCH 204,211"
NE 401,001,Tuesday,"December 13, 2011",9:00 AM,11:00 AM,RCH 301
NE 445,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,"PAC 9,10"
NE 461,001,Friday,"December 16, 2011",7:30 PM,10:00 PM,PAC 5
NE 471,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,PAC 9
NE 481,001,Wednesday,"December 21, 2011",7:30 PM,10:00 PM,RCH 307
NE 491,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,RCH 305
OPTOM 104,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,REV 200
OPTOM 105,001,Friday,"December 16, 2011",9:00 AM,10:30 AM,REV 200
OPTOM 106,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,REV 200
OPTOM 108,001,Wednesday,"December 14, 2011",9:00 AM,11:00 AM,REV 200
OPTOM 109,001,Saturday,"December 10, 2011",9:00 AM,11:00 AM,REV 200
OPTOM 124,001,Monday,"December 19, 2011",9:00 AM,11:00 AM,REV 200
OPTOM 215,001,Wednesday,"December 14, 2011",12:30 PM,3:00 PM,REV 200
OPTOM 216,001,Friday,"December 16, 2011",12:30 PM,3:00 PM,REV 200
OPTOM 231,001,Monday,"December 12, 2011",12:30 PM,2:30 PM,REV 200
OPTOM 243,001,Saturday,"December 10, 2011",12:30 PM,3:00 PM,REV 200
OPTOM 245,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,REV 200
OPTOM 252,001,Monday,"December 19, 2011",12:30 PM,2:30 PM,REV 200
OPTOM 339,001,Friday,"December 16, 2011",4:00 PM,6:00 PM,REV 200
OPTOM 342A,001,Thursday,"December 8, 2011",4:00 PM,6:30 PM,REV 200
OPTOM 347,001,Monday,"December 12, 2011",4:00 PM,6:30 PM,REV 200
OPTOM 375,001,Wednesday,"December 14, 2011",4:00 PM,6:30 PM,REV 200
OPTOM 387,001,Saturday,"December 10, 2011",4:00 PM,6:30 PM,REV 200
PACS 201,,,,View your exam schedule in Quest,,,,
PACS 202,001,Tuesday,"December 20, 2011",9:00 AM,11:30 AM,AL 116
PACS 203,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,HH 1101
PHIL 100J,"001,002",Monday,"December 12, 2011",12:30 PM,3:00 PM,STJ 3014
PHIL 100J,003,Tuesday,"December 13, 2011",7:30 PM,10:00 PM,STJ 2017
PHIL 110A,002,Saturday,"December 10, 2011",7:30 PM,10:00 PM,AL 105
PHIL 110A,,,,View your exam schedule in Quest,,,,
PHIL 118J,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,STJ 3016
PHIL 145,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,DC 1350
PHIL 145,,,,View your exam schedule in Quest,,,,
PHIL 202,001,Wednesday,"December 14, 2011",4:00 PM,6:30 PM,HH 1108
PHIL 208,001,Saturday,"December 10, 2011",9:00 AM,11:30 AM,AL 105
PHIL 210J,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,STJ 3012
PHIL 215,,,,View your exam schedule in Quest,,,,
PHIL 219J,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,STJ 2009
PHIL 220,,,,View your exam schedule in Quest,,,,
PHIL 221,,,,View your exam schedule in Quest,,,,
PHIL 256,,,,View your exam schedule in Quest,,,,
PHIL 355,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,HH 1102
PHIL 380,,,,View your exam schedule in Quest,,,,
PHIL 382,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,AL 209
PHYS 111,001 to 005,Monday,"December 19, 2011",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12"
PHYS 111L,001 to 024,Wednesday,"December 21, 2011",7:30 PM,8:30 PM,"PAC 1,2,3,4,5,6"
PHYS 115,001 to 006,Thursday,"December 8, 2011",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,11"
PHYS 115,051 (UAE),Sunday,"December 11, 2011",9:00 AM,11:30 AM,Exam Hall
PHYS 121,001 to 003,Monday,"December 19, 2011",4:00 PM,6:30 PM,"PAC 1,2,3,4"
PHYS 121,,,,View your exam schedule in Quest,,,,
PHYS 121L,001 to 005,Wednesday,"December 21, 2011",7:30 PM,8:30 PM,"PAC 11,12"
PHYS 131L,001 to 004,Wednesday,"December 21, 2011",7:30 PM,8:30 PM,PAC 7
PHYS 222,,,,View your exam schedule in Quest,,,,
PHYS 226,,,,View your exam schedule in Quest,,,,
PHYS 234,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,M3 1006
PHYS 239,001,Wednesday,"December 14, 2011",9:00 AM,11:30 AM,RCH 308
PHYS 241,001,Friday,"December 16, 2011",9:00 AM,11:30 AM,"MC 4020,4021"
PHYS 334,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,RCH 305
PHYS 352,,,,View your exam schedule in Quest,,,,
PHYS 353,001,Thursday,"December 22, 2011",9:00 AM,11:30 AM,PAC 6
PHYS 363,001,Wednesday,"December 21, 2011",12:30 PM,3:00 PM,PAC 5
PHYS 364,001,Thursday,"December 15, 2011",9:00 AM,11:30 AM,PHY 308
PHYS 434,001,Tuesday,"December 20, 2011",4:00 PM,6:30 PM,PHY 235
PHYS 435,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,PHY 308
PHYS 441A,001,Friday,"December 9, 2011",7:30 PM,10:00 PM,"PAC 9,10"
PHYS 454,001,Friday,"December 16, 2011",12:30 PM,3:00 PM,MC 4060
PHYS 475,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,PHY 235
PHYS 480,001,Wednesday,"December 14, 2011",7:30 PM,10:00 PM,PAC 11
PLAN 100,001,Wednesday,"December 14, 2011",4:00 PM,6:00 PM,M3 1006
PLAN 105,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,"MC 2017,2054"
PLAN 281,001,Thursday,"December 15, 2011",4:00 PM,6:30 PM,M3 1006
PLAN 351,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,RCH 305
PLAN 362,001,Thursday,"December 8, 2011",9:00 AM,10:30 AM,RCH 302
PLAN 440,001,Tuesday,"December 13, 2011",7:30 PM,9:30 PM,EV3 1408
PLAN 674,001,Thursday,"December 8, 2011",9:00 AM,10:30 AM,RCH 302
PMATH 330,001,Saturday,"December 17, 2011",7:30 PM,10:00 PM,MC 4045
PMATH 331,001,Tuesday,"December 13, 2011",7:30 PM,10:00 PM,"MC 4059,4061"
PMATH 334,001,Wednesday,"December 21, 2011",9:00 AM,11:30 AM,RCH 206
PMATH 340,001,Thursday,"December 8, 2011",4:00 PM,6:30 PM,MC 1085
PMATH 345,001,Tuesday,"December 20, 2011",9:00 AM,11:30 AM,PAC 10
PMATH 351,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,MC 4020
PMATH 441,001,Tuesday,"December 13, 2011",4:00 PM,6:30 PM,RCH 204
PMATH 442,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,MC 4041
PMATH 451,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,RCH 306
PMATH 465,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,MC 4045
PMATH 641,001,Tuesday,"December 13, 2011",4:00 PM,6:30 PM,RCH 204
PMATH 642,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,MC 4041
PMATH 651,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,RCH 306
PMATH 665,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,MC 4045
POLSH 101,001,Tuesday,"December 20, 2011",9:00 AM,11:30 AM,ML 246
PORT 101,001,Thursday,"December 8, 2011",12:30 PM,2:30 PM,MC 4042
PSCI 101,001,Wednesday,"December 14, 2011",7:30 PM,9:30 PM,"M3 1006,MC 2034,2035,2038"
PSCI 250,001,Tuesday,"December 20, 2011",12:30 PM,2:30 PM,RCH 302
PSCI 253,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,RCH 308
PSCI 260,001,Friday,"December 16, 2011",12:30 PM,3:00 PM,"RCH 103,105"
PSCI 281,001,Thursday,"December 22, 2011",7:30 PM,10:00 PM,PAC 1
PSCI 283,001,Thursday,"December 22, 2011",12:30 PM,2:30 PM,"PAC 11,12"
PSCI 291,001,Thursday,"December 15, 2011",7:30 PM,9:30 PM,M3 1006
PSCI 334,001,Thursday,"December 8, 2011",7:30 PM,10:00 PM,MC 4041
PSCI 350,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,MC 4061
PSCI 358,001,Saturday,"December 10, 2011",7:30 PM,9:30 PM,RCH 306
PSCI 387,001,Wednesday,"December 21, 2011",12:30 PM,3:00 PM,RCH 309
PSYCH 101,"001,002",Saturday,"December 17, 2011",7:30 PM,9:30 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12"
PSYCH 101,,,,View your exam schedule in Quest,,,,
PSYCH 121R,001,Saturday,"December 17, 2011",9:00 AM,11:30 AM,REN 2106
PSYCH 121R,002,Saturday,"December 17, 2011",9:00 AM,11:30 AM,"REN 2102,2107"
PSYCH 211,001,Thursday,"December 15, 2011",12:30 PM,2:30 PM,"M3 1006,DC 1350,1351"
PSYCH 253,001,Monday,"December 19, 2011",7:30 PM,10:00 PM,"PAC 1,2,3"
PSYCH 253,,,,View your exam schedule in Quest,,,,
PSYCH 256,,,,View your exam schedule in Quest,,,,
PSYCH 257,001,Thursday,"December 22, 2011",4:00 PM,6:00 PM,"DC 1350,1351"
PSYCH 261,,,,View your exam schedule in Quest,,,,
PSYCH 291,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,"PAC 4,5,6"
PSYCH 320,001,Wednesday,"December 14, 2011",4:00 PM,6:00 PM,"RCH 110,112"
PSYCH 336,001,Friday,"December 9, 2011",7:30 PM,10:00 PM,"RCH 103,105"
PSYCH 340,001,Tuesday,"December 13, 2011",4:00 PM,5:30 PM,"RCH 103,105"
PSYCH 350,001,Thursday,"December 8, 2011",12:30 PM,2:30 PM,"MC 2017,2054"
PSYCH 380,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,RCH 309
PSYCH 391,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,"DC 1350,1351 RCH 307,309"
REC 205,001,Monday,"December 12, 2011",7:30 PM,9:00 PM,"MC 4059,4060,4061"
REC 251,,,,View your exam schedule in Quest,,,,
REC 306,001,Thursday,"December 8, 2011",7:30 PM,10:00 PM,PAS 1229
REC 334,001,Wednesday,"December 21, 2011",9:00 AM,11:30 AM,RCH 307
REC 437,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,PAC 12
REES 100,001,Wednesday,"December 14, 2011",12:30 PM,3:00 PM,AL 105
REES 271,,,,View your exam schedule in Quest,,,,
RS 150,001,Monday,"December 19, 2011",12:30 PM,2:30 PM,STJ 3014
RS 152,001,Saturday,"December 10, 2011",12:30 PM,3:00 PM,CGC 1111
RS 216,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,HH 1102
RS 235,,,,View your exam schedule in Quest,,,,
RS 237,001,Wednesday,"December 14, 2011",9:00 AM,11:30 AM,CGC 1300
RS 280,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,RCH 302
RS 344,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,CGC 1300
RS 357,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,CGC 1300
RS 385,,,,View your exam schedule in Quest,,,,
RUSS 101,"001,002",Monday,"December 12, 2011",12:30 PM,3:00 PM,AL 105
RUSS 201,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,ML 246
SCI 205,,,,View your exam schedule in Quest,,,,
SCI 206,001,Thursday,"December 22, 2011",7:30 PM,9:30 PM,"PAC 7,8"
SCI 237,001,Monday,"December 19, 2011",4:00 PM,6:30 PM,"PAC 9,10"
SCI 238,,,,View your exam schedule in Quest,,,,
SCI 255,001,Friday,"December 16, 2011",4:00 PM,6:30 PM,"PAC 4,5"
SE 212,001,Saturday,"December 17, 2011",4:00 PM,6:30 PM,"PAC 4,5,6,11,12"
SE 463,001,Exam removed from the schedule.  Contact the instructor for further information.,,,,
SMF 204,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,STJ 1036
SOC 101,001,Tuesday,"December 13, 2011",7:30 PM,9:30 PM,"PAC 1,2,3,4,5,6,7"
SOC 101,002,Tuesday,"December 13, 2011",7:30 PM,10:00 PM,"RCH 302,305"
SOC 101,003,Thursday,"December 22, 2011",4:00 PM,6:30 PM,STJ 1036
SOC 101,,,,View your exam schedule in Quest,,,,
SOC 120R,001,Thursday,"December 22, 2011",7:30 PM,10:00 PM,REN 2106
SOC 120R,002,Thursday,"December 22, 2011",7:30 PM,10:00 PM,"REN 2102,2107"
SOC 201,001,Monday,"December 12, 2011",7:30 PM,9:00 PM,"HH 1101,1102"
SOC 202,001,Thursday,"December 15, 2011",9:00 AM,11:00 AM,AL 124
SOC 222,001,Wednesday,"December 14, 2011",12:30 PM,2:30 PM,HH 1101
SOC 227,001,Tuesday,"December 13, 2011",7:30 PM,8:30 PM,"HH 1101,1102"
SOC 228,001,Saturday,"December 17, 2011",12:30 PM,3:00 PM,HH 1101
SOC 232,,,,View your exam schedule in Quest,,,,
SOC 234,001,Wednesday,"December 21, 2011",12:30 PM,3:00 PM,AL 208
SOC 246,001,Monday,"December 12, 2011",12:30 PM,2:30 PM,PAS 1229
SOC 248,001,Wednesday,"December 21, 2011",7:30 PM,9:30 PM,RCH 302
SOC 262,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,RCH 302
SOC 280,001,Friday,"December 16, 2011",4:00 PM,6:30 PM,AL 208
SOC 321,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,RCH 307
SOC 370,,,,View your exam schedule in Quest,,,,
SOCWK 120R,001,Monday,"December 12, 2011",7:30 PM,10:00 PM,"REN 0104,0106"
SOCWK 120R,002,Monday,"December 12, 2011",7:30 PM,10:00 PM,REN 2106
SOCWK 120R,003,Monday,"December 12, 2011",7:30 PM,10:00 PM,"REN 2102,2107"
SOCWK 120R,,,,View your exam schedule in Quest,,,,
SOCWK 220R,001,Saturday,"December 10, 2011",12:30 PM,3:00 PM,REN 2106
SOCWK 222R,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,REN 2106
SOCWK 222R,,,,View your exam schedule in Quest,,,,
SOCWK 300R,001,Tuesday,"December 13, 2011",7:30 PM,10:00 PM,"REN 2102,2107"
SOCWK 300R,,,,View your exam schedule in Quest,,,,
SOCWK 357R,,,,View your exam schedule in Quest,,,,
SPAN 101,001 to 005,Thursday,"December 15, 2011",4:00 PM,6:00 PM,"DC 1350,1351"
SPAN 101,,,,View your exam schedule in Quest,,,,
SPAN 102,001,Saturday,"December 10, 2011",12:30 PM,2:30 PM,RCH 204
SPAN 102,,,,View your exam schedule in Quest,,,,
SPAN 201A,"001,002",Monday,"December 12, 2011",12:30 PM,2:30 PM,MC 4045
SPAN 210,001,Monday,"December 19, 2011",12:30 PM,2:30 PM,RCH 206
SPAN 301A,001,Tuesday,"December 20, 2011",4:00 PM,6:00 PM,PAC 9
SPD 378,,,,View your exam schedule in Quest,,,,
STAT 202,001,Tuesday,"December 13, 2011",4:00 PM,6:30 PM,"PAC 7,8,9,10,11,12"
STAT 206,001,Monday,"December 19, 2011",4:00 PM,6:30 PM,"PAC 11,12"
STAT 211,001,Wednesday,"December 14, 2011",7:30 PM,10:00 PM,"PAC 4,5,6"
STAT 220,001,Tuesday,"December 20, 2011",12:30 PM,3:00 PM,RCH 308
STAT 221,001,Tuesday,"December 20, 2011",9:00 AM,11:30 AM,PAC 12
STAT 230,001 to 003,Thursday,"December 15, 2011",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7,8"
STAT 231,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,"PAC 4,5,6,7"
STAT 232,001,Wednesday,"December 14, 2011",9:00 AM,11:30 AM,RCH 205
STAT 240,001,Saturday,"December 10, 2011",9:00 AM,11:30 AM,RCH 211
STAT 322,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,RCH 309
STAT 330,"001,002",Tuesday,"December 13, 2011",12:30 PM,3:00 PM,"DC 1350,1351"
STAT 331,001,Monday,"December 19, 2011",7:30 PM,10:00 PM,"PAC 7,8"
STAT 332,001,Friday,"December 16, 2011",7:30 PM,10:00 PM,PAC 4
STAT 333,"001,002",Thursday,"December 22, 2011",12:30 PM,3:00 PM,"PAC 1,2,3"
STAT 334,001,Thursday,"December 22, 2011",12:30 PM,3:00 PM,"PAC 5,6"
STAT 341,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,RCH 211
STAT 371,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,M3 1006
STAT 372,001,Thursday,"December 15, 2011",9:00 AM,11:30 AM,"MC 4059,4061"
STAT 373,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"MC 2017,2054"
STAT 430,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,RCH 308
STAT 431,001,Tuesday,"December 13, 2011",12:30 PM,3:00 PM,"RCH 103,105"
STAT 433,001,Saturday,"December 10, 2011",9:00 AM,11:30 AM,"RCH 103,105"
STAT 442,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,RCH 211
STAT 443,001,Thursday,"December 15, 2011",7:30 PM,10:00 PM,MC 1085
STAT 446,001,Monday,"December 12, 2011",4:00 PM,6:30 PM,M3 1006
STAT 830,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,RCH 308
STAT 831,001,Tuesday,"December 13, 2011",12:30 PM,3:00 PM,"RCH 103,105"
STAT 833,001,Saturday,"December 10, 2011",9:00 AM,11:30 AM,"RCH 103,105"
STAT 842,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,RCH 211
STAT 846,001,Monday,"December 12, 2011",4:00 PM,6:30 PM,M3 1006
SWREN 120R,002,Monday,"December 12, 2011",7:30 PM,10:00 PM,REN 2106
SWREN 120R,,,,View your exam schedule in Quest,,,,
SWREN 220R,001,Saturday,"December 10, 2011",12:30 PM,3:00 PM,REN 2106
SWREN 222R,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,REN 2106
SWREN 222R,,,,View your exam schedule in Quest,,,,
SWREN 250R,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,REN 2106
SWREN 251R,,,,View your exam schedule in Quest,,,,
SWREN 300R,001,Tuesday,"December 13, 2011",7:30 PM,10:00 PM,"REN 2102,2107"
SWREN 300R,,,,View your exam schedule in Quest,,,,
SYDE 101L,001,Friday,"December 16, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 111,001,Wednesday,"December 14, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 113,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 121,001,Wednesday,"December 21, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 161,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 181,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 212,001,Tuesday,"December 20, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 252,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,"E5 6006,6008"
SYDE 252,002,Thursday,"December 8, 2011",12:30 PM,3:00 PM,"MC 4020,4021"
SYDE 262,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 286,001,Friday,"December 16, 2011",12:30 PM,3:00 PM,"E5 6006,6008"
SYDE 292,001,Tuesday,"December 13, 2011",12:30 PM,3:00 PM,"E5 6006,6008"
SYDE 475,001,Thursday,"December 15, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 553,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,"E5 6006,6008"
TS 642,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,CGC 1300
TS 652,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,CGC 1300
WS 205,001,Exam removed from the schedule.  Contact the instructor for further information.,,,,
WS 222,001,Wednesday,"December 14, 2011",4:00 PM,6:30 PM,HH 1108
WS 306,001,Thursday,"December 8, 2011",7:30 PM,10:00 PM,PAS 1229
