Exam,Section(s),Day,Date,Start,End,Location,
CHE 231,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,PAC 7,
CHE 241,001,Tuesday,"August 12, 2014",4:00 PM,6:30 PM,PAC 8,
CHE 312,001,Tuesday,"August 5, 2014",4:00 PM,6:30 PM,"E6 2024,4022",
CHE 322,001,Thursday,"August 7, 2014",4:00 PM,6:30 PM,"DWE 2527,2529",
CHE 330,001,Thursday,"August 14, 2014",9:00 AM,11:30 AM,"E6 2024,4022",
CHE 360,001,Tuesday,"August 12, 2014",4:00 PM,6:30 PM,"E6 2024,4022",
CHE 420,001,Thursday,"August 14, 2014",12:30 PM,3:00 PM,"DWE 2527,2529",
CHE 480,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,"E6 2024,4022",
CHEM 120,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
CHEM 123,001,Tuesday,"August 5, 2014",9:00 AM,11:30 AM,"PAC 7,8",
CHEM 212,001,Thursday,"August 7, 2014",9:00 AM,11:30 AM,DC 1350,
CHEM 233,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,PAC 8,
CHEM 237,001,Tuesday,"August 12, 2014",4:00 PM,6:30 PM,"PAC 11,12",
CHEM 237,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
CHEM 237L,001 to 003,Wednesday,"August 6, 2014",4:00 PM,6:00 PM,DC 1350,
CHEM 254,001,Wednesday,"August 13, 2014",4:00 PM,6:30 PM,"PAC 4,5",
CHEM 265,001,Tuesday,"August 5, 2014",9:00 AM,11:30 AM,PAC 5,
CHEM 267,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
CHINA 101R,001,Monday,"August 11, 2014",7:30 PM,10:00 PM,REN 2102,
CHINA 120R,001,Saturday,"August 9, 2014",7:30 PM,10:00 PM,REN 2106,
CHINA 201R,001,Saturday,"August 9, 2014",7:30 PM,10:00 PM,REN 2107,
CIVE 121,001,Tuesday,"August 5, 2014",12:30 PM,3:00 PM,DC 1350,
CIVE 205,001,Friday,"August 8, 2014",9:00 AM,11:30 AM,"CPH 3602,3604,3607",
CIVE 222,001,Tuesday,"August 12, 2014",9:00 AM,11:30 AM,"CPH 3602,3604,3607",
CIVE 240,001,Thursday,"August 14, 2014",9:00 AM,11:30 AM,"CPH 3602,3604,3607",
CIVE 280,001,Tuesday,"August 5, 2014",4:00 PM,6:30 PM,"CPH 3602,3604,3607",
CIVE 353,001,Saturday,"August 9, 2014",9:00 AM,11:30 AM,CPH 3607,
CIVE 413,001,Tuesday,"August 5, 2014",9:00 AM,11:30 AM,"CPH 3604,3607",
CIVE 414,001,Wednesday,"August 13, 2014",12:30 PM,3:00 PM,CPH 3607,
CIVE 444,001,Tuesday,"August 12, 2014",4:00 PM,6:30 PM,CPH 3604,
CIVE 486,001,Wednesday,"August 13, 2014",12:30 PM,3:00 PM,DWE 3518,
CIVE 491,001,Wednesday,"August 6, 2014",7:30 PM,10:00 PM,M3 1006,
CIVE 512,001,Friday,"August 8, 2014",9:00 AM,11:30 AM,RCH 301,
CIVE 572,001,Tuesday,"August 5, 2014",7:30 PM,10:00 PM,DWE 3519,
CLAS 104,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
CO 250,001 to 003,Monday,"August 11, 2014",12:30 PM,3:00 PM,"PAC 4,5",
CO 327,001,Saturday,"August 9, 2014",12:30 PM,3:00 PM,PAC 6,
CO 342,001,Saturday,"August 16, 2014",4:00 PM,6:30 PM,PAC 4,
CO 351,001,Thursday,"August 7, 2014",4:00 PM,6:30 PM,MC 4045,
CO 454,001,Tuesday,"August 12, 2014",9:00 AM,11:30 AM,MC 4045,
CO 471,001,Wednesday,"August 6, 2014",7:30 PM,10:00 PM,MC 4040,
CO 671,001,Wednesday,"August 6, 2014",7:30 PM,10:00 PM,MC 4040,
COMM 321,001,Saturday,"August 9, 2014",7:30 PM,10:00 PM,PAC 4,
CS 100,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
CS 115,001,Wednesday,"August 13, 2014",12:30 PM,3:00 PM,"PAC 4,5",
CS 116,"001,002",Tuesday,"August 12, 2014",12:30 PM,3:00 PM,"PAC 7,8",
CS 136,"001,002",Tuesday,"August 12, 2014",12:30 PM,3:00 PM,"PAC 4,5",
CS 200,001,Exam removed from the schedule.  Contact instructor for further information.,,,,,
CS 234,001,Tuesday,"August 12, 2014",9:00 AM,11:30 AM,M3 1006,
CS 240,001 to 003,Friday,"August 15, 2014",9:00 AM,11:30 AM,"PAC 4,5,6",
CS 241,"001,002",Saturday,"August 16, 2014",9:00 AM,11:30 AM,"PAC 1,2",
CS 245,"001,002",Monday,"August 11, 2014",4:00 PM,6:30 PM,"PAC 1,2",
CS 246,"001,002",Tuesday,"August 12, 2014",9:00 AM,11:30 AM,"PAC 3,8",
CS 247,001,Tuesday,"August 12, 2014",9:00 AM,11:30 AM,DC 1350,
CS 251,"001,002",Wednesday,"August 13, 2014",4:00 PM,6:30 PM,"PAC 1,2",
CS 330,"001,002",Friday,"August 15, 2014",9:00 AM,11:30 AM,"PAC 7,8",
CS 338,001,Thursday,"August 14, 2014",4:00 PM,6:30 PM,"PAC 1,2",
CS 341,"001,002",Tuesday,"August 5, 2014",12:30 PM,3:00 PM,DC 1351,
CS 348,"001,002",Friday,"August 15, 2014",12:30 PM,3:00 PM,"PAC 1,2",
CS 349,"001,002",Monday,"August 11, 2014",4:00 PM,6:30 PM,"PAC 7,8",
CS 350,"001,002",Wednesday,"August 13, 2014",9:00 AM,11:30 AM,"PAC 7,8",
CS 360,001,Saturday,"August 16, 2014",7:30 PM,10:00 PM,PAC 3,
CS 370,"001,002",Thursday,"August 7, 2014",9:00 AM,11:30 AM,"PAC 11,12",
CS 371,001,Saturday,"August 9, 2014",12:30 PM,3:00 PM,PAC 8,
CS 432,001,Tuesday,"August 5, 2014",4:00 PM,6:30 PM,PAC 4,
CS 446,001,Wednesday,"August 6, 2014",9:00 AM,11:30 AM,"PAC 11,12",
CS 449,001,Thursday,"August 7, 2014",7:30 PM,10:00 PM,PAC 3,
CS 452,001,Exam removed from the schedule.  Contact instructor for further information.,,,,,
CS 454,"001,002",Friday,"August 8, 2014",12:30 PM,3:00 PM,"PAC 7,8",
CS 456,"001,002",Tuesday,"August 12, 2014",4:00 PM,6:30 PM,"PAC 5,6",
CS 458,"001,002",Tuesday,"August 12, 2014",9:00 AM,11:30 AM,"PAC 11,12",
CS 466,001,Friday,"August 15, 2014",7:30 PM,10:00 PM,PAC 6,
CS 475,001,Wednesday,"August 6, 2014",4:00 PM,6:30 PM,PAC 9,
CS 482,001,Exam removed from the schedule.  Contact instructor for further information.,,,,,
CS 486,"001,002",Thursday,"August 14, 2014",12:30 PM,3:00 PM,PAC 1,
CS 488,001,Saturday,"August 16, 2014",12:30 PM,3:00 PM,PAC 2,
CS 490,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,MC 4045,
CS 646,001,Wednesday,"August 6, 2014",9:00 AM,11:30 AM,"PAC 11,12",
CS 649,001,Thursday,"August 7, 2014",7:30 PM,10:00 PM,PAC 3,
CS 654,001,Friday,"August 8, 2014",12:30 PM,3:00 PM,"PAC 7,8",
CS 656,"001,002",Tuesday,"August 12, 2014",4:00 PM,6:30 PM,"PAC 5,6",
CS 658,"001,002",Tuesday,"August 12, 2014",9:00 AM,11:30 AM,"PAC 11,12",
CS 666,001,Friday,"August 15, 2014",7:30 PM,10:00 PM,PAC 6,
CS 675,001,Wednesday,"August 6, 2014",4:00 PM,6:30 PM,PAC 9,
CS 682,001,Exam removed from the schedule.  Contact instructor for further information.,,,,,
CS 686,"001,002",Thursday,"August 14, 2014",12:30 PM,3:00 PM,PAC 1,
DUTCH 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
DUTCH 102,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
EARTH 121,001,Friday,"August 15, 2014",4:00 PM,6:30 PM,"PAC 1,2",
EARTH 221,001,Monday,"August 11, 2014",7:30 PM,10:00 PM,PAC 2,
EARTH 232,001,Saturday,"August 16, 2014",4:00 PM,6:30 PM,EIT 1013,
ECE 103,"001,002",Friday,"August 15, 2014",9:00 AM,11:30 AM,"PAC 1,2,3",
ECE 106,"001,002",Tuesday,"August 5, 2014",9:00 AM,11:30 AM,"DC 1350,1351",
ECE 124,"001,002",Saturday,"August 9, 2014",12:30 PM,3:00 PM,"PAC 1,2,3",
ECE 155,"001,002",Thursday,"August 7, 2014",9:00 AM,11:30 AM,"PAC 7,8",
ECE 206,001,Monday,"August 11, 2014",7:30 PM,10:00 PM,PAC 4,
ECE 207,001,Tuesday,"August 5, 2014",4:00 PM,6:30 PM,"PAC 11,12",
ECE 209,001,Wednesday,"August 13, 2014",7:30 PM,10:00 PM,PAC 1,
ECE 224,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,"PAC 1,2",
ECE 242,001,Friday,"August 8, 2014",12:30 PM,3:00 PM,"PAC 11,12",
ECE 254,001,Friday,"August 15, 2014",7:30 PM,10:00 PM,PAC 2,
ECE 309,001,Thursday,"August 14, 2014",9:00 AM,11:30 AM,DC 1350,
ECE 316,001,Thursday,"August 7, 2014",9:00 AM,11:30 AM,PAC 1,
ECE 316,002,Thursday,"August 7, 2014",9:00 AM,11:30 AM,PAC 6,
ECE 327,001,Tuesday,"August 12, 2014",12:30 PM,3:00 PM,PAC 1,
ECE 331,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,"PAC 11,12",
ECE 351,001,Tuesday,"August 5, 2014",4:00 PM,6:30 PM,PAC 5,
ECE 358,001,Wednesday,"August 6, 2014",4:00 PM,6:30 PM,PAC 7,
ECE 375,001,Thursday,"August 7, 2014",7:30 PM,10:00 PM,PAC 4,
ECE 380,001,Monday,"August 11, 2014",4:00 PM,6:30 PM,PAC 3,
ECE 380,002,Monday,"August 11, 2014",4:00 PM,6:30 PM,PAC 5,
ECE 403,001,Wednesday,"August 13, 2014",12:30 PM,3:00 PM,"PAC 7,8",
ECE 411,001,Tuesday,"August 12, 2014",9:00 AM,11:30 AM,PAC 9,
ECE 413,001,Thursday,"August 7, 2014",9:00 AM,11:30 AM,"PAC 9,10",
ECE 429,001,Tuesday,"August 5, 2014",12:30 PM,3:00 PM,PAC 9,
ECE 445,001,Thursday,"August 14, 2014",9:00 AM,11:30 AM,PAC 6,
ECE 452,001,Wednesday,"August 6, 2014",9:00 AM,11:30 AM,"PAC 11,12",
ECE 454,001,Thursday,"August 7, 2014",4:00 PM,6:30 PM,"PAC 11,12",
ECE 455,001,Saturday,"August 16, 2014",4:00 PM,6:30 PM,PAC 1,
ECE 457A,001,Monday,"August 11, 2014",12:30 PM,3:00 PM,"PAC 6,7",
ECE 458,001,Friday,"August 8, 2014",9:00 AM,11:30 AM,PAC 3,
ECE 462,001,Thursday,"August 7, 2014",7:30 PM,10:00 PM,PAC 5,
ECE 463,001,Tuesday,"August 12, 2014",4:00 PM,6:30 PM,"PAC 9,10",
ECE 473,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,MC 4058,
ECE 481,001,Saturday,"August 16, 2014",4:00 PM,6:30 PM,PAC 2,
ECE 486,001,Saturday,"August 9, 2014",7:30 PM,10:00 PM,PAC 5,
ECE 493,001,Tuesday,"August 5, 2014",4:00 PM,6:30 PM,PAC 8,
ECE 730,003,Tuesday,"August 5, 2014",4:00 PM,6:30 PM,PAC 8,
ECE 750,001,Thursday,"August 7, 2014",4:00 PM,6:30 PM,"PAC 11,12",
ECE 750,002,Friday,"August 8, 2014",9:00 AM,11:30 AM,PAC 3,
ECON 101,001,Tuesday,"August 5, 2014",4:00 PM,6:30 PM,"PAC 1,2,3",
ECON 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ECON 102,001,Wednesday,"August 6, 2014",9:00 AM,11:30 AM,"PAC 4,5,6",
ECON 102,002,Wednesday,"August 6, 2014",9:00 AM,11:30 AM,"PAC 7,8,10",
ECON 102,003,Wednesday,"August 6, 2014",9:00 AM,11:30 AM,M3 1006,
ECON 201,"001,003",Friday,"August 8, 2014",9:00 AM,11:30 AM,"PAC 1,2",
ECON 202,"001,003",Monday,"August 11, 2014",9:00 AM,11:30 AM,"PAC 4,5",
ECON 202,002,Monday,"August 11, 2014",9:00 AM,11:30 AM,PAC 6,
ECON 211,001,Thursday,"August 14, 2014",4:00 PM,6:30 PM,PAC 6,
ECON 221,001,Thursday,"August 7, 2014",12:30 PM,3:00 PM,"PAC 11,12",
ECON 231,"001,002",Tuesday,"August 5, 2014",7:30 PM,10:00 PM,"PAC 1,2",
ECON 301,001,Friday,"August 8, 2014",9:00 AM,11:30 AM,PAC 9,
ECON 301,002,Friday,"August 8, 2014",9:00 AM,11:30 AM,PAC 6,
ECON 302,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,PAC 3,
ECON 311,001,Tuesday,"August 12, 2014",12:30 PM,3:00 PM,PAC 2,
ECON 321,001,Saturday,"August 16, 2014",7:30 PM,10:00 PM,PAC 4,
ECON 344,001,Saturday,"August 16, 2014",12:30 PM,3:00 PM,PAC 4,
ECON 357,001,Tuesday,"August 5, 2014",9:00 AM,11:30 AM,PAC 11,
ECON 361,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ECON 365,001,Thursday,"August 7, 2014",12:30 PM,2:00 PM,MC 4020,
ECON 371,001,Tuesday,"August 12, 2014",7:30 PM,10:00 PM,DC 1350,
ECON 372,001,Wednesday,"August 13, 2014",7:30 PM,10:00 PM,PAC 2,
ECON 401,001,Friday,"August 8, 2014",9:00 AM,11:30 AM,PAC 11,
ECON 402,001,Friday,"August 15, 2014",9:00 AM,11:30 AM,PAC 11,
ECON 483,001,Wednesday,"August 6, 2014",4:00 PM,6:30 PM,PAC 10,
ENGL 101B,001,Thursday,"August 14, 2014",7:30 PM,10:00 PM,PAC 5,
ENGL 102B,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ENGL 108A,001,Thursday,"August 14, 2014",9:00 AM,10:30 AM,STJ 3027,
ENGL 109,001,Saturday,"August 9, 2014",7:30 PM,10:00 PM,PAC 6,
ENGL 109,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ENGL 200B,001,Friday,"August 15, 2014",4:00 PM,6:30 PM,PAC 5,
ENGL 208C,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ENGL 210F,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ENGL 251B,001,Thursday,"August 7, 2014",4:00 PM,6:30 PM,STJ 3027,
ENGL 306A,001,Tuesday,"August 5, 2014",12:30 PM,3:00 PM,PAC 10,
ENGL 306A,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ENGL 313,001,Wednesday,"August 13, 2014",9:00 AM,11:30 AM,PAC 9,
ENGL 410D,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,MC 4041,
ENVE 127,001,Thursday,"August 14, 2014",12:30 PM,3:00 PM,PAC 3,
ENVE 320,001,Wednesday,"August 6, 2014",7:30 PM,10:00 PM,RCH 305,
ENVE 321,001,Wednesday,"August 13, 2014",9:00 AM,11:30 AM,RCH 307,
ENVS 200,001,Tuesday,"August 5, 2014",9:00 AM,11:30 AM,M3 1006,
ESL 129R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ESL 129R,082 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FINE 252,081 On Line,Exam removed from the schedule.  Contact CEL for further information.,,,,,
FR 151,001,Monday,"August 11, 2014",7:30 PM,9:30 PM,RCH 307,
FR 151,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR 152,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR 192A,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR 192B,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR 197,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR 252,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR 332,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
FR 351,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
GENE 121,001,Thursday,"August 14, 2014",9:00 AM,11:30 AM,"PAC 11,12",
GENE 123,001 to 003,Thursday,"August 7, 2014",12:30 PM,3:00 PM,"PAC 7,8,9,10",
GEOG 203,001,Wednesday,"August 6, 2014",12:30 PM,2:30 PM,M3 1006,
GEOG 281,001,Thursday,"August 7, 2014",4:00 PM,6:30 PM,M3 1006,
GEOG 426,001,Friday,"August 8, 2014",12:30 PM,2:30 PM,MC 2035,
