Exam,Section(s),Day,Date,Start Time,End Time,Location,,,,,,,,,,,
HIST 314,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
HIST 317,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
HIST 356,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
HIST 358,001,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
HIST 388,001,Wednesday,"December 11, 2013",12:30 PM,2:30 PM,See Prof,,,,,,,,,,,
HIST 389,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
HLTH 101,"001,002",Tuesday,"December 17, 2013",4:00 PM,6:30 PM,"PAC 1,2,3,8",,,,,,,,,,,
HLTH 103,001,Tuesday,"December 10, 2013",7:30 PM,9:30 PM,See Prof,,,,,,,,,,,
HLTH 201,001,Monday,"December 16, 2013",7:30 PM,9:30 PM,"DC 1350,1351",,,,,,,,,,,
HLTH 220,001,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,,
HLTH 245,001,Wednesday,"December 18, 2013",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,,
HLTH 333,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,,
HLTH 341,001,Tuesday,"December 10, 2013",12:30 PM,2:00 PM,"RCH 103,105",,,,,,,,,,,
HLTH 344,001,Wednesday,"December 18, 2013",9:00 AM,11:00 AM,"RCH 103,105",,,,,,,,,,,
HLTH 346,001,Thursday,"December 12, 2013",7:30 PM,10:00 PM,"PAC 4,5,6,10",,,,,,,,,,,
HLTH 407,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,"MC 4020,4021",,,,,,,,,,,
HLTH 442,001,Saturday,"December 14, 2013",12:30 PM,3:00 PM,PAC 12,,,,,,,,,,,
HRM 200,001,Friday,"December 13, 2013",7:30 PM,10:00 PM,"PAC 1,2,3,9",,,,,,,,,,,
HRM 301,001,Saturday,"December 14, 2013",12:30 PM,2:30 PM,"MC 2034,2035",,,,,,,,,,,
HRM 303,001,Friday,"December 6, 2013",12:30 PM,2:30 PM,RCH 301,,,,,,,,,,,
HUMSC 101,002,Friday,"December 6, 2013",4:00 PM,6:00 PM,See Prof,,,,,,,,,,,
HUMSC 102,001,Tuesday,"December 17, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
HUMSC 201,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
INDEV 100,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
INDEV 200,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
INDEV 300,001,Friday,"December 13, 2013",4:00 PM,6:30 PM,RCH 307,,,,,,,,,,,
INTST 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
JAPAN 101R,"001,002",Thursday,"December 19, 2013",12:30 PM,2:30 PM,See Prof,,,,,,,,,,,
JAPAN 102R,001,Thursday,"December 19, 2013",4:00 PM,6:00 PM,See Prof,,,,,,,,,,,
JAPAN 201R,"001,002",Monday,"December 16, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
JAPAN 202R,001,Thursday,"December 19, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
JAPAN 301R,001,Saturday,"December 7, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
JAPAN 302R,001,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
KIN 104,001,Friday,"December 13, 2013",12:30 PM,2:00 PM,"DC 1350,1351",,,,,,,,,,,
KIN 105,001,Thursday,"December 12, 2013",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,,,,
KIN 121,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,,,,
KIN 155,001,Monday,"December 16, 2013",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,,,,,,
KIN 217,001,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,"PAC 4,5,6,7",,,,,,,,,,,
KIN 242,001,Saturday,"December 14, 2013",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,
KIN 301,001,Wednesday,"December 18, 2013",7:30 PM,10:00 PM,MC 1085,,,,,,,,,,,
KIN 320,001,Saturday,"December 7, 2013",12:30 PM,2:30 PM,MC 4042,,,,,,,,,,,
KIN 346,001,Thursday,"December 12, 2013",7:30 PM,10:00 PM,"PAC 4,5,6,10",,,,,,,,,,,
KIN 357,001,Friday,"December 6, 2013",12:30 PM,2:30 PM,RCH 302,,,,,,,,,,,
KIN 405,001,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,"MC 4059,4061",,,,,,,,,,,
KIN 407,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,"MC 4020,4021",,,,,,,,,,,
KIN 428,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,"RCH 308,309",,,,,,,,,,,
KIN 456,001,Monday,"December 9, 2013",4:00 PM,6:30 PM,RCH 306,,,,,,,,,,,
KIN 471,001,Thursday,"December 19, 2013",9:00 AM,11:30 AM,PAC 12,,,,,,,,,,,
KOREA 101R,"001,002",Thursday,"December 19, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
LAT 101,001 to 003,Tuesday,"December 10, 2013",12:30 PM,2:30 PM,"RCH 110,112",,,,,,,,,,,
LAT 201,001,Saturday,"December 7, 2013",7:30 PM,9:30 PM,RCH 209,,,,,,,,,,,
LS 101,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
LS 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
LS 101,082 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
LS 280,001,Thursday,"December 5, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
LS 321,001,Monday,"December 9, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
MATBUS 470,001,Thursday,"December 19, 2013",9:00 AM,11:30 AM,PAC 3,,,,,,,,,,,
MATBUS 471,001,Thursday,"December 12, 2013",7:30 PM,10:00 PM,PAC 11,,,,,,,,,,,
MATH 103,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,MC 4059,,,,,,,,,,,
MATH 103,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
MATH 104,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,PAC 6,,,,,,,,,,,
MATH 106,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,MC 1085,,,,,,,,,,,
MATH 106,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
MATH 109,"001,002",Monday,"December 16, 2013",12:30 PM,3:00 PM,"PAC 1,2,3,4",,,,,,,,,,,
MATH 114,001,Thursday,"December 12, 2013",7:30 PM,10:00 PM,M3 1006,,,,,,,,,,,
MATH 115,001 to 008,Friday,"December 13, 2013",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,
MATH 116,001 to 007,Thursday,"December 5, 2013",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10",,,,,,,,,,,
MATH 117,001 to 005,Thursday,"December 5, 2013",7:30 PM,10:00 PM,"PAC 1,2,3,4,5,6,9,10",,,,,,,,,,,
MATH 124,001,Monday,"December 9, 2013",4:00 PM,6:30 PM,"MC 4020,4021,4059,4061",,,,,,,,,,,
MATH 127,001 to 010,Wednesday,"December 11, 2013",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,
MATH 127,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
MATH 128,001,Wednesday,"December 11, 2013",4:00 PM,6:30 PM,"MC 4020,4021",,,,,,,,,,,
MATH 128,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
MATH 135,"001,010 to 012",Monday,"December 9, 2013",9:00 AM,11:30 AM,"MC 2017,2054",,,,,,,,,,,
MATH 135,"009, 081",Monday,"December 9, 2013",9:00 AM,11:30 AM,"MC 4059,4060,4061",,,,,,,,,,,
MATH 135,002 to 007,Monday,"December 9, 2013",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,
MATH 135,008,Monday,"December 9, 2013",9:00 AM,11:30 AM,"MC 4020,4021,4045",,,,,,,,,,,
MATH 136,001 to 003,Thursday,"December 12, 2013",12:30 PM,3:00 PM,"M3 1006,MC 4059,4060,4061",,,,,,,,,,,
MATH 137,"001,002",Wednesday,"December 11, 2013",12:30 PM,3:00 PM,"DC 1350,1351,MC 1085",,,,,,,,,,,
MATH 137,"003 to 007,010",Wednesday,"December 11, 2013",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,
MATH 137,"009,011",Wednesday,"December 11, 2013",12:30 PM,3:00 PM,"RCH 103,105",,,,,,,,,,,
MATH 137,008,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,"RCH 308,309",,,,,,,,,,,
MATH 138,001 to 003,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,"RCH 301,302,305,306,307",,,,,,,,,,,
MATH 145,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,MC 1085,,,,,,,,,,,
MATH 147,001,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,"RCH 110,112",,,,,,,,,,,
MATH 207,001,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,MC 4042,,,,,,,,,,,
MATH 215,001,Wednesday,"December 18, 2013",4:00 PM,6:30 PM,"PAC 1,2",,,,,,,,,,,
MATH 217,001,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,"MC 4020,4021",,,,,,,,,,,
MATH 218,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,MC 4061,,,,,,,,,,,
MATH 225,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,RCH 306,,,,,,,,,,,
MATH 227,001,Wednesday,"December 18, 2013",12:30 PM,3:00 PM,PAC 3,,,,,,,,,,,
MATH 228,001,Tuesday,"December 17, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
MATH 229,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,RCH 212,,,,,,,,,,,
MATH 235,001 to 007,Thursday,"December 12, 2013",12:30 PM,3:00 PM,"PAC 1,2,3,11,12",,,,,,,,,,,
MATH 237,001 to 005,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,"PAC 4,5,6,7",,,,,,,,,,,
MATH 239,001 to 004,Tuesday,"December 17, 2013",4:00 PM,6:30 PM,"PAC 4,5,6,7",,,,,,,,,,,
MATH 245,001,Thursday,"December 12, 2013",12:30 PM,3:00 PM,PAC 9,,,,,,,,,,,
MATH 247,001,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,PAC 12,,,,,,,,,,,
MATH 249,001,Tuesday,"December 17, 2013",4:00 PM,6:30 PM,PAC 9,,,,,,,,,,,
ME 201,001,Friday,"December 6, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ME 202,001,Monday,"December 16, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ME 203,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ME 212,001,Tuesday,"December 17, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ME 219,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ME 220,001,Friday,"December 13, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ME 230,001,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ME 235,001,Friday,"December 13, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
ME 250,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ME 250,002,Monday,"December 9, 2013",4:00 PM,6:30 PM,RCH 307,,,,,,,,,,,
ME 262,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ME 269,001,Friday,"December 13, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ME 322,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ME 353,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ME 360,001,Friday,"December 13, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ME 362,001,Monday,"December 16, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ME 423,001,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
ME 436,001,Tuesday,"December 10, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ME 456,001,Thursday,"December 12, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ME 459,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
ME 548,001,Friday,"December 13, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ME 559,001,Tuesday,"December 17, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
ME 561,001,Saturday,"December 14, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ME 599,001,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ME 760,003,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
MEDVL 105,001,Monday,"December 9, 2013",4:00 PM,6:00 PM,"RCH 103,105",,,,,,,,,,,
MEDVL 115,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
MNS 101,001,Friday,"December 20, 2013",4:00 PM,6:30 PM,MC 4061,,,,,,,,,,,
MNS 211,001,Thursday,"December 12, 2013",12:30 PM,3:00 PM,PAC 10,,,,,,,,,,,
MSCI 211,001,Tuesday,"December 17, 2013",7:30 PM,10:00 PM,"PAC 4,5,6",,,,,,,,,,,
MSCI 211,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
MSCI 240,001,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
MSCI 262,"001,002",Saturday,"December 7, 2013",9:00 AM,11:00 AM,RCH 301,,,,,,,,,,,
MSCI 271,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
MSCI 311,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,,
MSCI 331,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
MSCI 332,"001,002",Saturday,"December 7, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
MSCI 343,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
MSCI 422,001,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,"MC 4059,4061",,,,,,,,,,,
MSCI 446,001,Monday,"December 9, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
MTE 203,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
MTE 204,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
MTE 220,001,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
MTE 241,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
MTE 420,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
MTE 460,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
MTHEL 131,001,Thursday,"December 19, 2013",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,,,,,,
MUSIC 100,001,Friday,"December 13, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
MUSIC 100,002,Friday,"December 13, 2013",7:30 PM,9:00 PM,See Prof,,,,,,,,,,,
MUSIC 111,001,Thursday,"December 12, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
MUSIC 140,001,Wednesday,"December 18, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
MUSIC 231,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
MUSIC 245,001,Saturday,"December 7, 2013",4:00 PM,6:00 PM,See Prof,,,,,,,,,,,
MUSIC 254,001,Monday,"December 9, 2013",9:00 AM,11:00 AM,See Prof,,,,,,,,,,,
MUSIC 275,001,Saturday,"December 14, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
MUSIC 334,001,Monday,"December 9, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
MUSIC 363,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
MUSIC 370,001,Monday,"December 16, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
MUSIC 376,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
NE 100,001,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,"PAC 11,12",,,,,,,,,,,
NE 112,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,"RCH 302,305",,,,,,,,,,,
NE 113,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,PAC 7,,,,,,,,,,,
NE 121,001,Friday,"December 13, 2013",9:00 AM,11:30 AM,"RCH 109,110,112",,,,,,,,,,,
NE 216,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,"RCH 103,105",,,,,,,,,,,
NE 224,001,Wednesday,"December 11, 2013",4:00 PM,6:30 PM,"MC 4059,4061",,,,,,,,,,,
NE 225,001,Friday,"December 13, 2013",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,,,,
NE 241,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,"RCH 110,112",,,,,,,,,,,
NE 335,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,DC 1350,,,,,,,,,,,
NE 336,001,Saturday,"December 14, 2013",9:00 AM,11:30 AM,PAC 1,,,,,,,,,,,
NE 352,001,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,,,,
NE 353,001,Thursday,"December 19, 2013",4:00 PM,6:30 PM,PAC 1,,,,,,,,,,,
NE 445,001,Friday,"December 13, 2013",12:30 PM,3:00 PM,RCH 307,,,,,,,,,,,
NE 451,001,Monday,"December 9, 2013",4:00 PM,6:30 PM,RCH 205,,,,,,,,,,,
NE 461,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,"PAC 9,10",,,,,,,,,,,
NE 471,001,Monday,"December 16, 2013",4:00 PM,6:30 PM,RCH 204,,,,,,,,,,,
NE 481,001,Thursday,"December 12, 2013",4:00 PM,6:30 PM,PAC 6,,,,,,,,,,,
NE 491,001,Tuesday,"December 17, 2013",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,,
OPTOM 104,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,REV 200,,,,,,,,,,,
OPTOM 105,001,Friday,"December 13, 2013",9:00 AM,10:30 AM,REV 200,,,,,,,,,,,
OPTOM 106,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,REV 200,,,,,,,,,,,
OPTOM 108,001,Monday,"December 16, 2013",9:00 AM,10:30 AM,REV 200,,,,,,,,,,,
OPTOM 109,001,Saturday,"December 7, 2013",9:00 AM,11:00 AM,REV 200,,,,,,,,,,,
OPTOM 124,001,Wednesday,"December 11, 2013",9:00 AM,11:00 AM,REV 200,,,,,,,,,,,
OPTOM 215,001,Friday,"December 13, 2013",12:30 PM,1:30 PM,REV 200,,,,,,,,,,,
OPTOM 216,001,Monday,"December 9, 2013",12:30 PM,2:30 PM,REV 200,,,,,,,,,,,
OPTOM 231,001,Thursday,"December 5, 2013",12:30 PM,2:30 PM,REV 200,,,,,,,,,,,
OPTOM 243,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,REV 200,,,,,,,,,,,
OPTOM 245,001,Wednesday,"December 11, 2013",12:30 PM,2:30 PM,REV 200,,,,,,,,,,,
OPTOM 252,001,Monday,"December 16, 2013",12:30 PM,2:30 PM,REV 200,,,,,,,,,,,
OPTOM 342A,001,Wednesday,"December 11, 2013",4:00 PM,6:00 PM,REV 200,,,,,,,,,,,
OPTOM 347,001,Saturday,"December 7, 2013",4:00 PM,6:30 PM,REV 200,,,,,,,,,,,
OPTOM 375,001,Monday,"December 9, 2013",4:00 PM,6:30 PM,REV 200,,,,,,,,,,,
OPTOM 387,001,Thursday,"December 5, 2013",4:00 PM,6:30 PM,REV 200,,,,,,,,,,,
PACS 201,001,Saturday,"December 14, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
PACS 202,001,Tuesday,"December 17, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
PACS 203,001,Tuesday,"December 10, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
PHIL 100J,"001,002",Thursday,"December 19, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
PHIL 110A,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
PHIL 110A,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
PHIL 110B,002,Saturday,"December 7, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
PHIL 145,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
PHIL 145,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
PHIL 202,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
PHIL 215,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
PHIL 218J,001,Friday,"December 6, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
PHIL 220,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
PHIL 224,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
PHIL 226,"001,002",Monday,"December 9, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
PHYS 111,001 to 005,Monday,"December 16, 2013",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7,8,9,10",,,,,,,,,,,
PHYS 111L,001 to 032,Wednesday,"December 18, 2013",7:30 PM,8:30 PM,"PAC 1,2,3,4,5,6,9,10",,,,,,,,,,,
PHYS 115,001 to 006,Monday,"December 9, 2013",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7",,,,,,,,,,,
PHYS 121,001 to 003,Monday,"December 16, 2013",12:30 PM,3:00 PM,"PAC 5,6,7,8,9,10",,,,,,,,,,,
PHYS 121L,001 to 008,Wednesday,"December 18, 2013",7:30 PM,8:30 PM,"PAC 8,12",,,,,,,,,,,
PHYS 131L,001 to 008,Wednesday,"December 18, 2013",7:30 PM,8:30 PM,"PAC 7,11",,,,,,,,,,,
PHYS 222,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
PHYS 224,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
PHYS 225,001,Thursday,"December 19, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
PHYS 226,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
PHYS 236,001,Monday,"December 9, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
PHYS 256,001,Tuesday,"December 10, 2013",4:00 PM,6:30 PM,"RCH 103,105",,,,,,,,,,,
PHYS 275,001,Monday,"December 16, 2013",4:00 PM,6:30 PM,"PAC 11,12",,,,,,,,,,,
PHYS 334,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,RCH 211,,,,,,,,,,,
PHYS 353,001,Friday,"December 6, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
PHYS 358,001,Thursday,"December 19, 2013",4:00 PM,6:30 PM,PAC 5,,,,,,,,,,,
PHYS 363,001,Saturday,"December 14, 2013",7:30 PM,10:00 PM,MC 4061,,,,,,,,,,,
PHYS 364,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
PHYS 380,001,Wednesday,"December 18, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
PHYS 434,001,Tuesday,"December 17, 2013",12:30 PM,3:00 PM,PAC 2,,,,,,,,,,,
PHYS 441A,001,Saturday,"December 14, 2013",9:00 AM,11:30 AM,"PAC 9,10",,,,,,,,,,,
PHYS 454,001,Monday,"December 9, 2013",7:30 PM,10:00 PM,PAC 11,,,,,,,,,,,
PHYS 461,001,Monday,"December 9, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
PHYS 475,001,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,PAC 10,,,,,,,,,,,
PLAN 100,001,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,,,,
PLAN 105,001,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,M3 1006,,,,,,,,,,,
PLAN 281,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,
PLAN 351,001,Friday,"December 6, 2013",7:30 PM,10:00 PM,MC 4040,,,,,,,,,,,
PLAN 362,001,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
PLAN 440,001,Friday,"December 6, 2013",12:30 PM,2:30 PM,RCH 305,,,,,,,,,,,
PLAN 453,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,"RCH 301,302",,,,,,,,,,,
PLAN 674,001,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
PMATH 330,001,Monday,"December 9, 2013",7:30 PM,10:00 PM,PAC 12,,,,,,,,,,,
PMATH 331,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,RCH 301,,,,,,,,,,,
PMATH 334,001,Friday,"December 13, 2013",9:00 AM,11:30 AM,RCH 306,,,,,,,,,,,
PMATH 340,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,PAC 7,,,,,,,,,,,
PMATH 347,001,Friday,"December 13, 2013",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,,
PMATH 351,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,RCH 211,,,,,,,,,,,
PMATH 451,001,Friday,"December 6, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
PMATH 451,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
PMATH 651,001,Friday,"December 6, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
PORT 101,001,Tuesday,"December 10, 2013",4:00 PM,6:00 PM,RCH 204,,,,,,,,,,,
